COD_MUNICIPIO_6;COD_IBGE_7;NOME_MUNICIPIO;UF;STATUS_RESOLUCAO
110001;1100015;Alta Floresta D'Oeste;RO;OK_API_IBGE
110002;1100023;Ariquemes;RO;OK_API_IBGE
110003;1100031;Cabixi;RO;OK_API_IBGE
110004;1100049;Cacoal;RO;OK_API_IBGE
110005;1100056;Cerejeiras;RO;OK_API_IBGE
110006;1100064;Colorado do Oeste;RO;OK_API_IBGE
110007;1100072;Corumbiara;RO;OK_API_IBGE
110008;1100080;Costa Marques;RO;OK_API_IBGE
110009;1100098;Espigão D'Oeste;RO;OK_API_IBGE
110010;1100106;Guajará-Mirim;RO;OK_API_IBGE
110011;1100114;Jaru;RO;OK_API_IBGE
110012;1100122;Ji-Paraná;RO;OK_API_IBGE
110013;1100130;Machadinho D'Oeste;RO;OK_API_IBGE
110014;1100148;Nova Brasilândia D'Oeste;RO;OK_API_IBGE
110015;1100155;Ouro Preto do Oeste;RO;OK_API_IBGE
110018;1100189;Pimenta Bueno;RO;OK_API_IBGE
110020;1100205;Porto Velho;RO;OK_API_IBGE
110025;1100254;Presidente Médici;RO;OK_API_IBGE
110026;1100262;Rio Crespo;RO;OK_API_IBGE
110028;1100288;Rolim de Moura;RO;OK_API_IBGE
110029;1100296;Santa Luzia D'Oeste;RO;OK_API_IBGE
110030;1100304;Vilhena;RO;OK_API_IBGE
110032;1100320;São Miguel do Guaporé;RO;OK_API_IBGE
110033;1100338;Nova Mamoré;RO;OK_API_IBGE
110034;1100346;Alvorada D'Oeste;RO;OK_API_IBGE
110037;1100379;Alto Alegre dos Parecis;RO;OK_API_IBGE
110040;1100403;Alto Paraíso;RO;OK_API_IBGE
110045;1100452;Buritis;RO;OK_API_IBGE
110060;1100601;Cacaulândia;RO;OK_API_IBGE
110070;1100700;Campo Novo de Rondônia;RO;OK_API_IBGE
110080;1100809;Candeias do Jamari;RO;OK_API_IBGE
110092;1100924;Chupinguaia;RO;OK_API_IBGE
110094;1100940;Cujubim;RO;OK_API_IBGE
110110;1101104;Itapuã do Oeste;RO;OK_API_IBGE
110120;1101203;Ministro Andreazza;RO;OK_API_IBGE
110130;1101302;Mirante da Serra;RO;OK_API_IBGE
110140;1101401;Monte Negro;RO;OK_API_IBGE
110143;1101435;Nova União;RO;OK_API_IBGE
110146;1101468;Pimenteiras do Oeste;RO;OK_API_IBGE
110148;1101484;São Felipe D'Oeste;RO;OK_API_IBGE
110149;1101492;São Francisco do Guaporé;RO;OK_API_IBGE
110150;1101500;Seringueiras;RO;OK_API_IBGE
110160;1101609;Theobroma;RO;OK_API_IBGE
110170;1101708;Urupá;RO;OK_API_IBGE
110175;1101757;Vale do Anari;RO;OK_API_IBGE
110180;1101807;Vale do Paraíso;RO;OK_API_IBGE
120001;1200013;Acrelândia;AC;OK_API_IBGE
120005;1200054;Assis Brasil;AC;OK_API_IBGE
120010;1200104;Brasiléia;AC;OK_API_IBGE
120013;1200138;Bujari;AC;OK_API_IBGE
120017;1200179;Capixaba;AC;OK_API_IBGE
120020;1200203;Cruzeiro do Sul;AC;OK_API_IBGE
120025;1200252;Epitaciolândia;AC;OK_API_IBGE
120030;1200302;Feijó;AC;OK_API_IBGE
120033;1200336;Mâncio Lima;AC;OK_API_IBGE
120034;1200344;Manoel Urbano;AC;OK_API_IBGE
120035;1200351;Marechal Thaumaturgo;AC;OK_API_IBGE
120038;1200385;Plácido de Castro;AC;OK_API_IBGE
120039;1200393;Porto Walter;AC;OK_API_IBGE
120040;1200401;Rio Branco;AC;OK_API_IBGE
120042;1200427;Rodrigues Alves;AC;OK_API_IBGE
120043;1200435;Santa Rosa do Purus;AC;OK_API_IBGE
120045;1200450;Senador Guiomard;AC;OK_API_IBGE
120050;1200500;Sena Madureira;AC;OK_API_IBGE
120060;1200609;Tarauacá;AC;OK_API_IBGE
120070;1200708;Xapuri;AC;OK_API_IBGE
120080;1200807;Porto Acre;AC;OK_API_IBGE
130002;1300029;Alvarães;AM;OK_API_IBGE
130006;1300060;Amaturá;AM;OK_API_IBGE
130008;1300086;Anamã;AM;OK_API_IBGE
130010;1300102;Anori;AM;OK_API_IBGE
130014;1300144;Apuí;AM;OK_API_IBGE
130020;1300201;Atalaia do Norte;AM;OK_API_IBGE
130030;1300300;Autazes;AM;OK_API_IBGE
130040;1300409;Barcelos;AM;OK_API_IBGE
130050;1300508;Barreirinha;AM;OK_API_IBGE
130060;1300607;Benjamin Constant;AM;OK_API_IBGE
130063;1300631;Beruri;AM;OK_API_IBGE
130068;1300680;Boa Vista do Ramos;AM;OK_API_IBGE
130070;1300706;Boca do Acre;AM;OK_API_IBGE
130080;1300805;Borba;AM;OK_API_IBGE
130083;1300839;Caapiranga;AM;OK_API_IBGE
130090;1300904;Canutama;AM;OK_API_IBGE
130100;1301001;Carauari;AM;OK_API_IBGE
130110;1301100;Careiro;AM;OK_API_IBGE
130115;1301159;Careiro da Várzea;AM;OK_API_IBGE
130120;1301209;Coari;AM;OK_API_IBGE
130130;1301308;Codajás;AM;OK_API_IBGE
130140;1301407;Eirunepé;AM;OK_API_IBGE
130150;1301506;Envira;AM;OK_API_IBGE
